,word,coeff
2,rude,-1.2309855487186407
31,tasteless,-1.0504345811738967
48,sucks,-0.9301334152075038
9,mediocre,-0.866534359264901
19,dirty,-0.8033110164757739
7,bland,-0.7910031950628703
30,disappointment,-0.7909008868031167
51,burnt,-0.7499604863467515
73,shame,-0.7269961001282986
114,raw,-0.6077384058064449
36,mins,-0.6007790766159917
0,minutes,-0.5812464761887047
21,management,-0.579673027096083
13,money,-0.5755005805109383
52,frozen,-0.573724883223033
79,mess,-0.5705792230115997
23,meh,-0.5542784235141014
54,mistake,-0.5013031496785543
3,manager,-0.496630120718374
1,ok,-0.492387382338889
37,charge,-0.469781924024596
45,lack,-0.4683729299711216
34,attitude,-0.4542281239002429
10,average,-0.43526248010045954
8,okay,-0.4147352022471643
119,dollars,-0.3942546891364308
4,nothing,-0.3853135900020232
183,dont,-0.3758148545411741
72,salty,-0.3722743329537028
276,skip,-0.3656617460411587
235,chewy,-0.36466555928937966
15,bill,-0.36445283059420003
195,didnt,-0.3152229780692297
61,understand,-0.2854671637836667
169,plain,-0.28074005860522594
18,someone,-0.2683108336272817
14,waitress,-0.2581583689536756
27,fine,-0.2522518723709947
35,customers,-0.25201139881036205
29,phone,-0.25177423974079766
186,lettuce,-0.24926444282921878
215,paper,-0.24761921423015856
96,credit,-0.24394275341570273
174,stick,-0.24166990940082722
179,hate,-0.2406656822289267
154,pieces,-0.24010979926478676
163,cashier,-0.23878593708938026
175,refill,-0.23307361196062143
134,stood,-0.2309571303368125
201,none,-0.22984465802784648
95,forgot,-0.22962742795001087
89,employee,-0.22836006600483713
217,bathroom,-0.22554708665781878
206,piece,-0.2046129793179582
294,patrons,-0.20356896335900032
25,tables,-0.20234484864972277
178,cost,-0.20119617536558274
101,hours,-0.19443099742941405
222,cook,-0.18180063616070177
11,order,-0.17980585231105978
278,pass,-0.17950355917729585
84,problem,-0.17921151472570138
130,please,-0.17835837706888227
60,business,-0.17827835456457508
46,hostess,-0.17422233090656497
80,lady,-0.17379483329802667
224,story,-0.16500680497414522
65,hour,-0.16152713659871315
250,turn,-0.15885002818516458
256,box,-0.15704905729176757
118,total,-0.1566531075361256
50,water,-0.15547806621704052
146,desk,-0.15158135496636718
38,call,-0.1504717788850016
225,months,-0.15028822164108527
85,company,-0.14808828262287535
53,orders,-0.1459936713520046
120,rating,-0.14580840422906538
234,tonight,-0.14579858868348616
43,reason,-0.13591766905192187
138,woman,-0.12853755679431095
112,girl,-0.12796316782454936
193,office,-0.12296774212973122
99,employees,-0.12220841592991867
187,salt,-0.12129495469064719
77,person,-0.12025562133486416
232,menus,-0.11869458643623794
220,change,-0.11851839174632775
239,weeks,-0.11669590308043327
171,plate,-0.11410860645944626
221,fare,-0.11345399006471404
207,issues,-0.11319129275303336
267,bun,-0.11073408380236133
209,mean,-0.10690266131796129
216,hotel,-0.10602641258114419
172,medium,-0.10445550096075445
245,fix,-0.10338799980976297
229,correct,-0.10327892268012645
264,sign,-0.10228382891745567
182,floor,-0.10169369500500111
140,today,-0.0992724194594774
189,chain,-0.09781153818292035
180,cheap,-0.09547960888189923
208,rest,-0.09055958457434403
210,reviews,-0.08910563109803002
192,counter,-0.0890201819751076
121,situation,-0.0864853226400592
149,hair,-0.08608169980929897
49,something,-0.08496605618655503
55,thing,-0.08325607349763675
103,saw,-0.08180567691814025
40,people,-0.0802408078499501
105,guy,-0.07574088124146824
17,customer,-0.07425581168944523
125,location,-0.07374405484436211
142,meat,-0.07334646074743471
228,bartender,-0.07308731640736132
78,way,-0.07196195167356921
108,times,-0.06925025969097004
39,ask,-0.06843763196142831
292,move,-0.06402004760356163
165,part,-0.06369243695856376
199,eggs,-0.06366361318739266
270,stand,-0.0633043235606178
104,review,-0.06275796523068924
170,room,-0.06056580125126459
275,pub,-0.05994229131898247
90,card,-0.05943204019606732
218,game,-0.05901145165342205
202,door,-0.058559408162870155
254,cash,-0.05408881661909139
16,stars,-0.05349384235741159
287,store,-0.05294049281155078
233,party,-0.05110795106823237
262,number,-0.050378028486554184
93,car,-0.04926091055797656
247,attention,-0.04702478269825141
123,taste,-0.04671233250357721
285,opinion,-0.04610920780708671
198,fact,-0.045227804195054365
62,drink,-0.04285838446364787
238,wings,-0.041630996216493646
279,glass,-0.04008165566520848
44,bar,-0.03964871060064212
145,restaurant,-0.03774146582710184
113,kinda,-0.03739479437180906
147,tip,-0.03671629066812877
74,tell,-0.03394450210359747
283,group,-0.03106944752837633
158,items,-0.027231632755880763
269,anything,-0.026433596442769592
219,seat,-0.023841852570375768
144,line,-0.02070640406583761
282,use,-0.016253311394470542
109,check,-0.012298092333486417
227,need,-0.012027789966151076
203,option,-0.00992517525365958
132,sandwich,-0.009030543102676813
213,chips,-0.007315832026294816
162,hit,-0.006930175115538065
122,night,-0.006460561430844282
236,friend,-0.003455175045269792
156,sports,-0.0025943965216294763
47,beer,-0.00023678673476614783
20,..._NEG,0.0
92,salad,0.0003608643140324338
241,end,0.008336718788502602
249,talk,0.00928006377627384
116,drinks,0.010735927488448418
141,size,0.01138741581338563
161,things,0.011464657200404748
230,minute,0.011838539655846
200,potatoes,0.0148069264303203
168,couple,0.01520196156784576
212,casino,0.015529718487209635
231,diner,0.017447288512810907
28,fries,0.02035622540686417
86,portion,0.02255523184133708
155,appointment,0.024155565049233177
67,pricey,0.025370036672721336
197,tvs,0.027955485658201953
185,point,0.030576558768784463
281,sit,0.035300849085034655
243,fish,0.03536428651075284
244,rice,0.03736923183222035
64,chicken,0.03960715434441739
81,lot,0.03997114300832289
76,flavor,0.04045901693718044
32,food,0.041791089292421216
100,price,0.041938930867849514
88,decor,0.042621062471423575
167,experience,0.04428007040951754
205,space,0.04502287926267973
71,lunch,0.04520239848650892
191,bread,0.0457050468658076
173,onion,0.04922710467416606
196,dinner,0.051623118477488246
242,see,0.052167544220060244
6,bit,0.05340244724449011
129,beers,0.05718859329825098
237,choices,0.058330431167757955
259,onions,0.0599484173480183
117,patio,0.06234252742264838
286,sides,0.06332343593737967
115,potato,0.06537034144136776
253,steak,0.07075885216265523
177,cream,0.0733874349678356
261,years,0.07806865254671512
102,options,0.07847507591564677
181,sandwiches,0.07858869189772281
257,corn,0.08049273387507995
211,time,0.08084199027436678
223,shrimp,0.08369889006773482
252,music,0.08468105575374038
280,butter,0.09293318690136795
166,choice,0.09520439346642236
106,area,0.09556625565946159
184,plenty,0.09612053648591806
251,toppings,0.09623380714040039
135,beef,0.09638809064828813
137,kind,0.09812293389176459
273,light,0.09830708564555626
157,complaint,0.09944606003918612
97,burgers,0.11047408317741633
284,spice,0.11071781490877415
265,desserts,0.11280305016666965
263,mac,0.11339623226361256
277,pancakes,0.11583064710975648
111,pork,0.11858411791159693
290,selections,0.12294403371240517
124,place,0.12852127946427916
214,bbq,0.12872696274709355
70,prices,0.13049602119973022
148,fan,0.13416800401382453
152,ambiance,0.13534145205318895
194,vibe,0.13711797550918642
226,sauces,0.14141220966458398
289,waffles,0.14300328485645752
57,portions,0.14633925360674188
26,selection,0.1472875373246775
12,nice,0.14735815811415168
91,owner,0.14858326523505175
87,cool,0.14874498015159707
153,strip,0.1552641365686652
63,variety,0.16071032613257444
133,brunch,0.16254566535128998
268,cake,0.16415203697357497
127,enjoy,0.1641608700683202
143,style,0.16522456614456962
82,spicy,0.17192493298718967
274,craft,0.17588037412524876
293,split,0.17842019175712237
266,crisp,0.181669371729987
151,chocolate,0.1832980705202393
59,breakfast,0.18659522286744812
190,family,0.18673342910206223
248,life,0.18715458866832724
272,comfort,0.18770154297658667
246,cocktails,0.195555495161106
291,share,0.20044651323999296
271,weekends,0.2052876219163693
240,anyone,0.20608299785228515
68,crispy,0.21051417147790827
107,specials,0.21064052928735297
159,wow,0.22799308062205156
288,las,0.2302587727585953
110,flavors,0.24219289747995867
66,staff,0.2529928923868323
98,quick,0.26395422460205115
33,spot,0.2694968249558207
128,town,0.2721122953062953
164,banana,0.27609340117161546
150,cozy,0.2788700907076537
41,fun,0.284697320111835
75,unique,0.2897465011120582
83,everything,0.30271750041265527
126,care,0.31872690343593046
255,job,0.3221575267620762
260,phoenix,0.3337467947406108
204,hands,0.3395923341364353
136,favorites,0.3410518009386452
160,dr,0.3497137796163578
56,juicy,0.3602400359715532
24,yummy,0.3880439142576915
69,yum,0.3955932340055283
188,hidden,0.40308434030739415
258,team,0.422433792975873
176,recommendations,0.4463939852803917
58,thanks,0.5110432595604926
131,superb,0.5125478555724631
94,notch,0.5209604939095518
42,perfection,0.5273982769506774
5,excellent,0.5458254187416565
139,bomb,0.5592813203371592
22,thank,0.6731010517208251
